country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,1.396,0.25,0.25,0.5,0.58,0.284,1.002,0.886,0.378,0.966,0.925,0.871,1.008,0.88,0.879,0.786,0.812,0.38,0.462,0.805,0.68,0.495,0.489,0.265,1.096,1.283,1.445,1.491
        Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0.019,0.107,0.19,0.053,0.237,0.213,0.293,0.513,0.447,0.447
        Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,3.405,3.605,3.85,2.907,2.601,2.688,2.073,3.029,2.764,2.718,3.513,3.987,4.723,5.055,5.789,5.062,5.245,3.933,5.067,3.704,2.797,3.012,4.488,3.482,3.298,3.407,4.248,5.398
        Belgium,8.92,5.264,4.318,4.356,4.143,5.543,5.521,7.778,7.833,7.607,8.509,6.845,5.721,5.359,5.07,5.326,5.446,6.705,6.435,8.207,7.319,6.712,9.07,8.254,6.79,8.024,8.696,9.037,6.561,11.321,11.844,10.652,6.912,7.603,4.188,2.715,8.465,8.168,4.308,14.588905
        Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
        Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bhutan,0,0,0,0,0,0,0.25,1.05,1.39,1.385,1.395,1.4,1.445,1.42,1.455,1.475,1.482,1.33,1.36,1.385,1.398,1.4,1.561,1.845,1.624,1.714,2.526,5.373,5.922,5.405,5.58,5.273,4.896,5.557,5.147,5.721,5.763,5.701,4.581,4.6
        Bolivia,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.003,0.003,0.003,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0.5,0,0.4,0.672,2.061,2.684,2.7,3.909,2.569,2.351,2.133,3.015,3.598,3.628,5.123,4.344,5.057,5.877,6.905,5.66,4.525,6.862,5.998,6.007,6.841,5.187,7.698,6.565
        Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Brazil,0.196,0.332,0.206,0.071,0,0.004,0.01,0.01,0.008,0.009,0.007,0.008,0.008,0.011,0,0,0.008,0.008,0.008,0.005,0.004,0.006,0.01,0.006,0.007,0.16,0.283,2.034,0.689,1.08,1.257,2.544,0.467,0,0.003,0.219,0.518,0.156,0.001,0.199
        British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bulgaria,0.866,1.095,1.794,2.221,2.243,2.956,1.47,0.952,0.849,0.71,1.656,0.96,0.584,1.52,1.23,2.121,2.252,4.335,4.211,3.627,5.584,8.017,8.335,6.772,6.62,8.38,8.882,7.533,8.441,7.735,9.613,12.11,10.661,9.532,13.774,14.826,10.94,9.186,10.03,8.855
        Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.381,1.393,0.851,1.002
        Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Canada,30.48,36.365,36.713,38.895,40.828,42.317,38.238,46.901,33.866,21.95,16.494107,19.81529,26.224179,29.364197,44.821858,40.596119,42.233376,43.008501,39.502108,42.911308,48.515476,38.401598,36.536479,29.324625,33.007487,43.528075,42.735776,50.330737,56.021682,51.781541,44.388476,51.516788,57.864641,62.246287,59.45562,72.952424,73.103171,72.039761,61.401035,60.348987
        Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.039,0,0
        China,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.26,0.26,0.445,3.893,6.025,7.7,8.051,7.157,9.65,10.3,10.4,10.704,10.339,9.476,11.194,12.271,14.566,16.644,17.386,19.059,19.307,17.653,18.669,18.158,18.654,18.907,19.47,20.906,21.655
        Colombia,0.019,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.064,0.027,0.037,0.21,0.618,1.182,1.682,1.758,1.813,0.87669,1.473,1.077,0.798,1.543,0.715,1.377,0.849,0.46,0.045,0.009,0.016,0
        Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Congo-Brazzaville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.022,0.033,0.022,0.022,0.026,0.044
        Congo-Kinshasa,0.107,0.141,0.108,0.11,0.135,0.154,0.187,0.19,0.112,0.31,0.062,0.12,1.23,1.415,1.077,1.486,1.486,0.718,0.404,0.754,1.279,1.202,1.334,1.331,1.395,1.735,1.323,1.402,0.674,0.887,0.916,0.171,0.048,0.048,0.069,0.422,0.42,0.062,0.076,0.248
        Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Costa Rica,0,0,0.107,0.488,0.443,0.06,0.1,0.11,0.084,0.098,0.126,0.174,0.098,0.081,0.006,0.151,0.109,0.241,0.068,0.128,0.497,0.379,0.478,0.273,0.44,0.07,0.06,0.03955,0.166,0.134,0.135,0.32,0.402,0.484,0.555,0.643,0.657,0.741,0.813,0.712
        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.632,1.257,0.95,0.886,1.63,0.66,0.428,0.595,0.386,0.588,0.792,1.142,2.296,4.323,3.306,1.948,6.242,6.889,8.447,6.83,5.743,7.391,6.945,6.369,6.867,5.204,7.306,5.268
        Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,8.056,5.8,6.304,8.814,10.201,10.844,12.26,18.742,18.919,20.889,26.299,25.493,24.985,24.097,26.357,19.989,22.23,21.59,27.501,28.707,27.458,28.142,28.661,24.791,28.109,25.481,24.122816
        Côte d’Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.951,0.593,1.291,1.238,1.156,1.565,1.327,1.409,1.398,1.065,0.772,0.599,0.484,0.491,0.615,0.645,0.82,0.877,0.872,1.246,1.877,1.156,1.178
        Denmark,3.212,2.331,2.39,3.928,2.16,2.695,2.083,1.758,1.648,2.201,4.925,5.047,4.901,5.095,6.62,4.806,19.181,11.049,7.6,7.536,7.752,8.774,11.01,15.568,11.545,11.574,13.702,11.377,11.36,10.874,11.734,10.374,10.706,10.377,9.847,9.733,9.919,10.655,10.409,10.171
        Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.035,0.016,0.00123,0.03853,0.038,0.021,0.01,0.014,0.012,0.029,0.047,0.046,0.402,0.212,0.256,1.826
        Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,0.453,0.959,1.039,0.873,0.946,0.557,0.814,1.022,1.118,1.595,1.679,0.474,0.46,0.73,0.747,0.333,0.425,0.341,0.36
        El Salvador,0,0,0,0,0,0,0.001,0.01,0.004,0.002,0.009,0.002,0.046,0.011,0.014,0.065,0.021,0.018,0.023,0.208,0.112,0.044,0.051,0.103,0.084,0.038,0.009,0.007,0.089,0.079,0.089,0.102,0.078,0.091,0.208,0.064,0.078,0.09,0.065,0.158
        Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Estonia,--,--,--,--,--,--,--,--,--,--,--,--,3.492,1.596,1.5,1.005,1.1,1.184,0.528,0.734,1.187,0.891,1.102,1.989,2.141,1.953,1.001,2.765,2.31,2.943,4.354,5.252,4.95,6.301,6.484,6.377,5.614,5.014,4.95,2.704
        Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0.563,0.642,0.761,0.7,1.303,1.432,1.47,1
        Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Finland,1.163,0.526,1.738,0.681,0.422,0.941,0.492,0.507,0.409,0.469,0.36,0.641,0.673,0.429,0.625,0.279,1.706,0.45,0.276,0.232,0.326,1.81,1.539,7.03,6.797,0.933,2.717,2.862,3.335,3.375,5.218,3.804,1.645,1.876,3.655,5.122,3.159,1.779,2.612,3.896
        Former Czechoslovakia,1.7,1.12,1.29,1.39,1.83,2.537,2.283,2.219,2.95,4.636,3.117,1.678,9.192,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,0.4,0.1,0,0,0.156,0.009,0.268,1.44,0.446,0.45,1.1,1.786,6.248,8.694,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former U.S.S.R.,18.799,20.808,21.419,23.205,24.101,30.699,30.434,35.067,38.579,37.902,34.198,19.406,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,1.713,1.073,1.243,1.626,3.881,2.036,2.178,2.208,2.559,2.596,3.108,6.475,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,12.394,15.597,13.121,20.555,29.993,28.658,33.134,38.293,44.425,49.974,52.112,58.409,58.533,65.093,66.85,72.701,72.428,69.634,62.152,68.108,73.174,72.861,80.739,73.373,68.477,68.39,71.863,67.595,58.736,44.451,50.188,65.914,56.734,60.148,75.063,74.024,61.404,61.248,76.479,73.299
        French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Georgia,--,--,--,--,--,--,--,--,--,--,--,--,0.531,0.339,0.15,0.18,0.126,0.465,0.796,0.384,0.198,0.527,0.158,0.159,0,0.122,0.14,0.628,0.675,0.74,1.492,0.93,0.528,0.45,0.604,0.66,1.409,0.94,0.602,0.38
        Germany,--,--,--,--,--,--,--,--,--,--,--,30.991,33.738,32.758,33.55,34.911,42.67,40.361,38.953,39.558,42.077,42.122,38.372,52.379,50.808,61.427,65.441,62.508,61.77,54.132,57.917,54.768,66.81,71.415,74.32,85.29,78.863,80.301,80.463,72.793
"        Germany, East",2.685,2.445,3.144,3.251,3.927,3.674,3.873,3.664,4.088,4.987,4.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",13.463,14.028,13.422,13.292,15.444,16.33,15.522,18.381,22.329,21.321,26.387,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Ghana,0.44,0.472,0.521,0.225,0.25,0.27,0.275,0.281,0.282,0.28,0.195,0.215,0.286,0.288,0.31,0.285,0.348,0.422,0.4,0.422,0.392,0.302,0.612,0.604,0.665,0.639,0.754,0.246,0.538,0.752,1.036,0.691,0.667,0.53,0.522,0.587,0.187,0.268,0.74,1.43
        Gibraltar,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Greece,0.038,0.089,0.049,0.032,0.03,0.209,0.297,0.362,0.392,0.637,0.619,0.854,0.362,0.284,0.43,0.593,1.314,0.709,0.89,1.647,1.74,1.062,1.706,2.076,2.034,1.836,1.938,2.057,1.962,3.233,2.811,3.948,4.169,3.901,0.642,1.473,1.037,2.459,2.272,1.123029
        Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.023,0.088,0.061,0.465,0.827,0.336,0.44,0.428,0.464,0.339,0.09,0.13188,0.076,0.094,0.139,0.193,0.346,0.588,1.207,1.087,1.335,1.858,2.5,2.19
        Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Honduras,0.011,0.012,0.012,0.012,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.005,0.005,0,0,0.03,0.16,0.006,0.016,0.006,0.005,0,0,0,0.01451,0.00193,0.0113,0,0.012,0.046,0.013,0.127,0.079,0.156,0.505,0.536,0.553,0.025,0.008,0.54
        Hong Kong,0.308,0.237,0.272,0.368,0.74,1.05,1.208,1.362,1.44,1.77,1.797,3.06,4.963,4.5,1.758,1.483,0.531,0.559,0.61,0.633,1.181,1.581,2.175,3.008,3.087,4.498,4.528,4.035,3.552503,3.731,2.609,2.957,1.838,1.65,1.226,1.187,1.205,1.341,0.556,0
        Hungary,2.795,2.641,1.68,1.741,1.32,1.924,1.346,1.997,2.322,1.875,2.039,1.047,1.521,0.756,0.9,0.805,1.28,2.261,3.302,2.34,6.083,7.232,8.349,7.138,3.056,9.41,8.186,10.694,8.871,5.459,4.702,8.021,9.003,4.758,5.69,6.249,5.24,6.925,4.265,7.269
        Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        India,0.042,0.094,0.078,0.089,0.111,0.107,0.067,0.03,0.097,0.091,0.095,0.07,0.146,0.101,0.12,0.05,0.13,0.321,0.27,0.187,0.195,0.232,0.175,0.058,0.04,0.209,0.216,0.29,0.388,0.058,0.062,0.135,0.154,1.651,4.433,5.15,6.71,7.203,8.494,9.491
        Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0.197,0.157,0.384,0.522,0.617,0.864,0.86,1.049,0.791,0.919,1.837,2.761,2.775,2.52,3.875,6.152,6.707,8.668,11.029,11.586,9.66,6.822,6.688,8.172,6.295,6.365
        Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.185,0.076,0.073,0.049,0.071,0.288,0.062,0.01,0,0.001,0.009,0.082,0.303,0.175,0.29,0.242,0.37,0.383,0.704,1.079,1.583,1.795,1.649,1.535
        Israel,0.165,0.181,0.201,0.194,0.199,0.233,0.297,0.357,0.375,0.38,0.39,0.36,0.35,0.32,0.33,0.914,0.979,1.17,1.055,1.272,1.457,1.399,1.387,1.47,1.459,1.667,1.844,2.081,3.666,3.783,3.966,4.222,4.434,4.675,4.844,5.197,5.553,5.649,5.863,6.311
        Italy,1.989,1.97,3.018,2.886,1.083,1.436,1.814,1.672,0.718,0.725,0.922,0.372,0.647,0.677,1.09,1.235,0.76,0.995,0.901,0.528,0.484,0.549,0.922,0.518,0.791,1.109,1.611,2.648,3.398,2.111,1.827,1.787,2.304,2.2,3.031,4.471,6.154,5.134,3.271,5.834
        Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Jordan,0,0,0,0,0,0.022,0.214,0.1,0,0,0,0,0,0,0,0,0.002,0.003,0.004,0.007,0.005,0.002,0,0.003,0,0.004,0.013,0.176,0.323,0.139,0.058,0.086,0.104,0.059,0.064,0.05,0.046,0.057,0.094,0.098
        Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,15.447,12,5.5,2.5,1.731,0.001,0.133,0.085,0.085,1.637,2,4.975,7.403,3.648,3.73,3.308,2.483,2.379,1.757,1.809,2.933,2.996,2.917,1.614,2.572,5.692,5.042,2.419
        Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.0244,0.073,0.046,0.027,0.027,0.031,0.042,0.031,0.039,0.04,0.045,0.022,0.024,0.035,0.016
        Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.296,0.274,0.353,2.717,2.619,2.893,0.475,0.553,1.064,0.88,0.677,0.905
        Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,7.406,6.641,8.2,7.7,9.156,2.417,0.998,2.011,3.153,2.165,1.062,1.716,3.382,2.684,2.521,2.379,0.868,1.251,1.828,2.848,1.84,0.377,0.072,0.184,0.199,1.215,0.755,0.271
        Laos,0.735,0.74,0.752,0.701,0.71,0.616,0.584,0.287,0.274,0.369,0.52,0.662,0.638,0.58,0.637,0.705,0.78,0.73072,1.45831,1.99617,2.92939,2.86185,2.7365,2.25683,2.44307,2.5,2.49,2.23,2.315,1.921,6.646,10.669,10.363,12.494,11.936,11.549,19.65,24.901,27.216,24.114
        Latvia,--,--,--,--,--,--,--,--,--,--,--,--,0.002,0.17,0.85,0.391,0.211,0.001,0.384,0.642,0.322,0.457,0.49,0.038,0.636,0.707,0.302,1.964,2.123,2.605,3.1,2.764,3.244,3.65,3.023,3.425,3.795,4.137,4.265,3.493
        Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
