country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
        Lesotho,NA,NA,NA,NA,NA,NA,0.00758,0.00758,0.00756,0.00758,0.00758,0.00758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Liberia,NA,NA,NA,NA,NA,NA,0.00143,0.03178,0,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.063387978,0.063561644,0.095342466,0.095342466,0.095081967,0.063561644,0.095342466,0.095342466,0.095342466,0.095342466,0.095342466,0.095342466,0.095342466,NA,NA
        Libya,NA,NA,NA,NA,NA,NA,0.6,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.03169,0.2,0.2,0.7,0.8,0.9,1.2,2.1,2.7,1.7,1.3,2.4,2.3,2.3,2.9,3.8,2.5,2.7,3.4,3.6,3.6,NA,NA
        Luxembourg,NA,NA,NA,NA,NA,NA,0.8,0.8,0.7,0.8,0.7,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.7,1,1,1,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0,NA
        Macau,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.8,1,1.1,1.3,1.3,1.3,1.3,1.4,NA,NA
        Madagascar,NA,NA,NA,NA,NA,NA,0,0,0,0.03178,0.00953,0.03178,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.063561644,0.095081967,0.095342466,0.095342466,0.095342466,0.095081967,0.095342466,0.3,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Malawi,NA,NA,NA,NA,NA,NA,0,0.01225,0,0.1,0.1,0.1,0.1,0.00681,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.031693989,0.2,0.063561644,0.063561644,0.069917808,0.069917808,0.069917808,0.069917808,0.069917808,NA,NA
        Malaysia,NA,NA,NA,NA,NA,NA,0,4.4,0.099,5.8,5.8,8.1,8.1,7.9,15,11,12,25,8.2,7.5,8.2,7.5,9.6,19,8.1,14,10,9.3,5,12,13,16,13,NA,NA
        Maldives,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Mali,NA,NA,NA,NA,NA,NA,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Malta,NA,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.7,NA,NA
        Martinique,NA,NA,NA,NA,NA,NA,0.03178,0.03178,0.03169,0.03178,0.08,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.063561644,0.063561644,0.063387978,0.095342466,0.063561644,0.095342466,0.08739726,0.0928,0.0928,0.0928,0.0928,NA,NA
        Mauritania,NA,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.5,1.6,1.6,1.6,1.7,2.4,0.9,1,1.1,1.1,1.1,1.1,NA,NA
        Mauritius,NA,NA,NA,NA,NA,NA,0.1,0.1,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.2,1.2,1.4,1.5,1.8,1.6,1.7,1.7,1.9,2,2,2,2,2.1,2.2,NA,NA
        Mexico,NA,NA,NA,NA,NA,NA,25,16,20,21,21,21,30,30,31,37,54,73,78,94,122,102,103,87,89,74,78,83,94,85,82,85,92,86,NA
        Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Moldova,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.6,0.7,0.9,0.8,0.4,1.4,1.6,1.6,1.8,1.8,1.8,1.6,1.6,1.9,1.7,2.1,2.4,2.5,NA,NA
        Mongolia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.5,0,0.2,0.2,0.6,0.6,0.5,NA,NA
        Montserrat,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Morocco,NA,NA,NA,NA,NA,NA,7.4,5.7,5.9,7.1,11,12,13,12,17,21,21,24,25,25,27,30,33,39,37,38,39,41,51,58,61,62,65,NA,NA
        Mozambique,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,NA,NA
        Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,NA,NA
        Nauru,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Nepal,NA,NA,NA,NA,NA,NA,0.02979,0.06839,0.06338,0.9,0,0.1,0.2,0.2,0.3,0.3,0.3,0.7,1.2,1.2,1.3,1.6,1.8,2,2.1,2.2,2.9,3,3,4.5,5.1,4.5,4.5,NA,NA
        Netherlands,4.5,NA,NA,NA,NA,NA,81,81,65,71,79,80,81,81,73,70,66,75,68,59,54,62,58,53,66,69,77,73,74,69,64,82,70,127,NA
        Netherlands Antilles,NA,NA,NA,NA,NA,NA,1.1,1.1,2,1,0.6,1.1,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,7,0.7,0.7,0.7,0.7,2,1.9,1.8,2.3,2.3,2.3,NA,NA
        New Caledonia,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,NA,NA
        New Zealand,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0,1.2,2.6,2.3,3,0.5,0.2,0.4,0.063561644,NA
        Nicaragua,NA,NA,NA,NA,NA,NA,0.06356,0.06356,0.06338,0.06356,0.06356,0.03726,0.03169,0.2,0.09534,0.3,0.4,0.6,0.8,0.9,0.8,0.8,1,1,1.2,1.3,1.3,1.5,1.7,1.9,1.8,1.8,2.3,NA,NA
        Niger,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075638356,0.075638356,0.075638356,0.075638356,NA,NA
        Nigeria,0.060184879,0.060184879,NA,NA,NA,0.3,0.0572,0.8,0.3,0.9,0,0,0,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.8,0.5,1.8,1.3,1.4,2.3,1,0.012440926,0.2,0.7,0.7,0.3,1.2,NA,NA
        Niue,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317808,0.000317808,0.000317808,0.000317808,0.000317808,NA,NA
        North Korea,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        North Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,0,0.6,0.4,0.5,0.4,0.4,0.6,0.7,1,0.7,0.8,0.7,0.7,0.8,1,1.3,1.4,1.4,1.3,1.3,1.6,NA,NA
        Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Norway,NA,NA,NA,NA,NA,NA,10,9.4,0.4,3.5,5.7,5,6.1,11,8.2,6,8.1,5.2,5.6,8.4,8.2,2.4,4,7.1,6.2,5.2,8.3,8,11,8.8,12,8.6,8.6,8.2,NA
        Oman,NA,NA,NA,NA,NA,NA,0.2,0.00104,0,0.01681,0.00766,0,0.5,0,0.00063,0,0,0.6,0.3,0.3,0.3,0.3,0.4,0.1,0.031693989,0,0,0,0,0,0,0,0,NA,NA
        Pakistan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.7,0.9,3,1.5,1.6,1,0.9,0.2,0,0.6,1.1,1.3,0.8,2.1,0.8,1.9,2.2,1.9,2.5,2.2,NA,NA
        Palestinian Territories,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.5,2.5,2.9,4,2.9,3,2.8,3.3,3.8,4,4.6,3.9,4,3.9,4,4,NA,NA
        Panama,NA,NA,NA,NA,NA,NA,1.6,1.5,1.6,1.6,1.8,1.9,1.9,2,2.1,2,1.6,2.4,2.2,2.2,2.2,2,1.8,4.1,6.2,3.7,3.8,2.9,2.2,4.6,8.6,7.6,7.8,NA,NA
        Papua New Guinea,NA,NA,NA,NA,NA,NA,0.1,0.09534,0.09508,0.09534,0.09534,0.09534,0.09508,0.09534,0.09534,0.09534,0.09508,0.09534,0.09534,0.095342466,0.1,0.1,0.3,0.4,0.1,0.1,0.3,0.5,0.6,0.6,0.6,0.6,0.6,NA,NA
        Paraguay,NA,NA,NA,NA,NA,NA,0.9,1,1.2,1.3,1.4,1.4,1.3,1.9,1.7,1.6,2.1,2,2.4,3.1,2.7,2.2,2.3,2.3,2.5,2.6,2.6,2.6,2.6,2.7,2.6,2.8,2.8,NA,NA
        Peru,NA,NA,NA,NA,NA,NA,0,0.4,0.8,0.5,1.8,1.8,2.1,2.3,3.2,2.5,3.8,3.4,3.4,4.5,5.5,6.5,7.7,9.3,7.3,8.3,0.3,2.7,3.8,0,0,0,0.031780822,NA,NA
        Philippines,NA,NA,NA,NA,NA,NA,1.8,4.8,7.6,14,13,15,7,4.4,3.2,8.3,2.1,2.4,17,18,21,18,20,18,24,21,20,24,22,26,24,23,24,NA,NA
        Poland,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2.8,5.7,12,19,23,24,25,18,23,37,54,58,61,66,66,66,61,59,61,59,65,NA
        Portugal,NA,NA,NA,NA,NA,NA,10,13,13,13,14,18,17,20,19,20,25,24,22,23,24,22,22,19,20,18,17,18,17,14,13,15,14,19,NA
        Puerto Rico,NA,NA,NA,NA,NA,NA,3,3,4.7,1.8,0.6,0.2,0,0.04109,0.05205,0.04918,0.03278,0.02739,0.01643,0.8,0.2,0.011046575,0.021917808,0.2,0.00273224,0.002739726,0.016438356,0.2,3.7,2.4,3.4,3.9,3.8,NA,NA
        Qatar,NA,NA,NA,NA,NA,NA,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Reunion,NA,NA,NA,NA,NA,NA,0.5,0.6,0.6,0,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,1,1,1.1,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,NA,NA
        Romania,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,1.4,0.7,0.9,1,2.1,2.2,1.8,2,2.2,3.3,4.1,3.5,3.3,2.7,NA,NA
        Russia,--,--,--,--,--,--,--,--,--,--,--,--,0,0.2,0,0,0,0,1,0.3,0.5,1.1,0.031780822,0.031780822,0.3,0.095342466,0.3,0,4.6,0.2,3.9,6.5,4.7,NA,NA
        Rwanda,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Saint Helena,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Saint Lucia,NA,NA,NA,NA,NA,NA,0.06356,0.06356,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.09534,0.09534,0.09508,0.09534,0.09534,0.095342466,0.095081967,0.095342466,0.095342466,0.1,0.3,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,0.00516,0.00482,0.00515,0.00516,0.00516,0.00516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Saint Vincent/Grenadines,NA,NA,NA,NA,NA,NA,0.03178,0.03178,0.03169,0.06356,0.06356,0.06356,0.06338,0.06356,0.09534,0.09534,0.09508,0.1,0.09534,0.095342466,0.095081967,0.095342466,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Samoa,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Sao Tome and Principe,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002860274,0.002860274,0.002860274,NA,NA
        Saudi Arabia,NA,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.03178,0,0.00821,0,0,0,0,0,0,0,0,0,0,0,0,14,15,14,15,17,4.4,0,0,0,NA,NA
        Senegal,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.8,0.9,1.1,1.2,0.6,0.6,0.6,0.6,2.2,2.7,3,2.9,3.2,3.3,3.4,3.9,4.2,4.2,4.2,4,4,3.6,3.1,3.2,NA,NA
        Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,7.3,7.7,8.2,8.1,10,8.5,NA,NA
        Seychelles,NA,NA,NA,NA,NA,NA,0,0,0,0.00969,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.060828493,0.095081967,0.095342466,0.092164384,0.095342466,0.1,0.1,0.1,0.1,0.1,NA,NA
        Sierra Leone,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Singapore,NA,NA,NA,NA,NA,NA,0.05,0.2,6,3.7,0.08898,0.2,0.6,0.7,0.1,0.2,0.2,0.3,0.3,0.2,0,0.031780822,0.091115616,0.031780822,0.2,0.1,0.063561644,0.6,0.4,0.2,0.2,0.3,0.3,NA,NA
        Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,0.4,0.4,0.2,0.4,0.4,0.4,0.7,0.9,0.8,1.3,1.5,1.2,2,1.8,2,2.4,2.5,1.8,1.4,1.5,1.5,NA
        Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,1.4,1.2,1.2,1.1,1.3,2.4,2.4,2.6,2.9,2.6,2.8,2.8,2.7,2.4,3,2.6,3.1,2.7,2.8,2.8,2.4,2.4,NA
        Solomon Islands,NA,NA,NA,NA,NA,NA,0,0,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.031780822,0.063561644,0.047671233,0.050849315,0.053073973,0.053073973,0.053073973,NA,NA
        Somalia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,NA,NA
        South Africa,NA,NA,NA,NA,NA,NA,0.00547,1.6,1.6,2,1.8,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0.002440114,0,0,0,0,0,0,0,0,NA,NA
        South Korea,NA,NA,NA,NA,NA,NA,22,28,41,55,75,80,106,125,133,146,151,152,133,163,161,129,156,137,129,136,150,153,176,176,194,197,192,176,NA
        South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,
        Spain,NA,NA,NA,NA,NA,NA,22,32,25,15,16,24,24,39,36,31,41,37,37,40,39,28,35,32,35,33,29,32,31,28,25,18,11,10,NA
        Sri Lanka,NA,NA,NA,NA,NA,NA,0,0,0,0.4,0.5,0.6,1,1.2,1.6,2.1,2.1,3.1,3.1,4,4.2,4.2,4.1,4.5,4.7,4.8,5,5,5,4.5,4.4,5.8,6.1,NA,NA
        Sudan,NA,NA,NA,NA,NA,NA,0.1,0.1,0.3,0.04732,0.044,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.9,0.8,0,0,0,0,0,0,0.5,0.8,0,1.3,2.8,4.1,NA,NA
        Suriname,NA,NA,NA,NA,NA,NA,0.4,0.2,0.2,0.3,0.6,0.6,0.5,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.5,0.5,0.5,NA,NA
        Sweden,NA,NA,NA,NA,NA,NA,13,18,17,19,23,22,25,23,26,25,28,27,24,23,23,27,24,38,36,41,50,47,44,38,44,54,42,47,NA
        Switzerland,NA,NA,NA,NA,NA,NA,1.1,0.8,0.8,1.2,1,1,1,0.9,1,1,1,1,1,1,1,1.2,1.2,1.2,1.4,1.7,1.5,1.5,1.6,1.4,1.5,1.2,2.3,1,NA
        Syria,NA,NA,NA,NA,NA,NA,3.3,2.9,2.8,3.4,3.5,3.8,3.8,3.5,4.1,3.8,7.4,5.5,6.3,5.3,5.6,7.3,7.2,6.9,6.9,6.5,9.8,12,12,13,13,14,12,NA,NA
        Taiwan,NA,NA,NA,NA,NA,NA,18,19,26,29,29,30,29,29,28,24,25,25,24,27,27,29,27,25,27,28,34,35,32,36,28,35,23,NA,NA
        Tajikistan,--,--,--,--,--,--,--,--,--,--,--,--,0,0.7,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,NA,NA
        Tanzania,NA,NA,NA,NA,NA,NA,0,0,0,0,0.01925,0.03575,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.8,1,NA,NA
        Thailand,NA,NA,NA,NA,NA,NA,1.8,3.9,4.2,12,8.9,3.5,0.0567,13,1.6,0.2,0.4,0.06203,0.04996,0,0.031693989,0,0,0,0.1,0,0,0,0.2,24,51,45,55,NA,NA
        The Bahamas,NA,NA,NA,NA,NA,NA,0.7,0.5,0.3,0.3,0.4,0.6,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,NA,NA
        Timor-Leste,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,NA,NA
        Togo,NA,NA,NA,NA,NA,NA,0.01525,0.02294,0.029,0.02542,0.02879,0,0,0.02135,0,0,0,0,0,0,0,0,0.031780822,0.063561644,0.063387978,0.063561644,0.3,0.095342466,0.1,0.1,0.2,0.2,0.2,NA,NA
        Tonga,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.017,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0,0,0,0.063561644,0,0,0,0,0,0,0,NA,NA
        Trinidad and Tobago,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.05888,0.01,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Tunisia,NA,NA,NA,NA,NA,NA,4.6,4,3.6,9.6,4,4.6,4.4,4.7,5.4,5.8,6.5,7.5,7.1,8.3,8.6,9,9.8,10,10,11,13,11,11,11,11,11,10,NA,NA
        Turkey,NA,NA,NA,NA,NA,NA,15,18,20,25,29,33,38,44,42,51,54,67,76,83,123,99,90,98,107,115,89,93,85,98,98,97,95,98,NA
        Turkmenistan,--,--,--,--,--,--,--,--,--,--,--,--,0,1.3,0,0,1.4,1.7,1.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,NA,NA
        Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Tuvalu,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        U.S. Pacific Islands,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        U.S. Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        U.S. Virgin Islands,NA,NA,NA,NA,NA,NA,0.00821,0,3.7,3.4,0,0,0,0,0,0.00547,0,0,0,0,0,0,1,0,0,0,0.3,0,0.9,0.3,0,0.098726027,8,NA,NA
        Uganda,NA,NA,NA,NA,NA,NA,0,0,0,0.01786,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0,0,0,0,0.031780822,0.031780822,0.031693989,0.031780822,0.009534247,0.1,0.1,0.1,0.2,0.1,0.1,NA,NA
        Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,34,43,46,42,37,36,0.2,0.063561644,1.9,0.3,0.5,1.6,1,1.2,3.1,1.8,8,9.8,NA,NA
        United Arab Emirates,NA,NA,NA,NA,NA,NA,0.4,0,0.014,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        United Kingdom,29,NA,NA,NA,NA,NA,16,15,22,32,35,22,26,16,15,14,8,11,7.7,8.4,8.5,13,6.3,12,15,25,27,23,20,20,11,7.2,6.3,13,NA
        United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,216,219,152,115,99,103,118,103
        Uruguay,NA,NA,NA,NA,NA,NA,0.06356,0.2,0.3,0.2,0,0.1,0.4,3.3,4.6,0.9,1.7,1.3,0.7,1.5,1.2,1.1,1.5,0.9,0.063387978,0.063561644,0.6,1.3,0.1,1,2,2.3,1.8,NA,NA
        Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,0,0.9,0,0,0.03169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Vanuatu,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Venezuela,NA,NA,NA,NA,NA,NA,0,0.3,0.2,0,0.4,2.5,0,2.2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Vietnam,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.03,0.2,0,0,0,0,0,4,7.8,1.9,5.7,2.9,3.1,9.5,9.3,12,24,20,19,25,22,24,25,NA,NA
        Wake Island,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Western Sahara,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Yemen,NA,NA,NA,NA,NA,NA,1.8,2.5,2.7,3.8,2.9,3,3.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Zambia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Zimbabwe,NA,NA,NA,NA,NA,NA,0,0.06356,0.5,0.5,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA
LPG imports (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2232.8,2194.2,2245,2213.8,2247.3,2355.1,2473.3,NA,NA
        Afghanistan,NA,NA,NA,NA,NA,NA,0,0,0.03169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Albania,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,1.2,1.3,1.4,1.6,2.2,2.6,2.4,1.4,3.1,3.2,2.8,NA,NA
        Algeria,NA,NA,NA,NA,NA,NA,3.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        American Samoa,NA,NA,NA,NA,NA,NA,0,0,0,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.05,0.07,0,0.05,0.05,0,0,NA,NA
        Angola,0.210685256,0.3,0.2,0.2,0.2,0.3,0.09534,0.09534,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.8,0.8,0.8,1.2,1.4,1.6,1.9,2.4,0,0,0,0,0,0,NA,NA
        Antarctica,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Antigua and Barbuda,NA,NA,NA,NA,NA,NA,0.06356,0.06356,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.063561644,0.063387978,0.063561644,0.063561644,0.063561644,0.063387978,0.063561644,0.095342466,0.095342466,0.098520548,0.1,0.1,0.1,0.1,NA,NA
        Argentina,NA,NA,NA,NA,NA,NA,1.4,2.6,1.5,0,0,0,1.6,0,0,6.4,0,0.8,1.7,0.095342466,1.3,1.5,0.8,0.6,0,0,0,0,0,0,0,0,0,NA,NA
        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.3,0.1,0.03169,0.03169,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.03,0.4,0.3,0.2,0.3,0.2,0.2,NA,NA
        Aruba,--,--,--,--,--,--,0,0,0,0.2,0.03178,0.06356,0.09508,0.09534,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,NA,NA
